good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Özel polislerin şüphelinin izini sürdüğünü basına açıkladı.;Özel polislerin sürdüğünü şüphelinin izini basına açıkladı.;şüphelinin izini sürdüğünü;sürdüğünü şüphelinin izini;-;scrambling
Genç adamın cüzdanını düşürdüğünü gördüm.;Genç adamın düşürdüğünü cüzdanını gördüm.;cüzdanını düşürdüğünü;düşürdüğünü cüzdanını;-;scrambling  
Ardından müdürün projeyi onayladığını duydum.;Ardından müdürün onayladığını projeyi duydum.;projeyi onayladığını;onayladığını projeyi;-;scrambling  
Sonra polislerin hırsızın izini sürdüğünü duyduk.;Sonra polislerin sürdüğünü hırsızın izini duyduk.;hırsızın izini sürdüğünü;sürdüğünü hırsızın izini;-;scrambling
Koca kızım oyuncağını bozmasına üzüldü.;Koca kızım bozmasına oyuncağını üzüldü.;oyuncağını bozmasına;bozmasına oyuncağını;-;scrambling  
Ayrıca mimarın proje için gerekli izinleri aldığını öğrendik.;Ayrıca mimarın aldığını proje için gerekli izinleri öğrendik.;proje için gerekli izinleri aldığını;aldığını proje için gerekli izinleri;-;scrambling
Bazı çiftçilerin gerekli hazırlıkları tamamladığını söylediler.;Bazı çiftçilerin tamamladığını gerekli hazırlıkları söylediler.;gerekli hazırlıkları tamamladığını;tamamladığını gerekli hazırlıkları;-;scrambling
Önce öğretmenin soruyu yanıtlamasını dinlediler.;Önce öğretmenin yanıtlamasını soruyu dinlediler.;soruyu yanıtlamasını;yanıtlamasını soruyu;-;scrambling  
Erdoğan öğretmenin sınav sonuçlarını açıkladığını haber verdi.;Erdoğan öğretmenin açıkladığını sınav sonuçlarını haber verdi.;sınav sonuçlarını açıkladığını;açıkladığını sınav sonuçlarını;-;scrambling
Polis yolcuların valizlerini kaybettiğini duyurdu.;Polis yolcuların kaybettiğini valizlerini duyurdu.;valizlerini kaybettiğini;kaybettiğini valizlerini;-;scrambling  
Bugün müdürün raporu imzaladığını duydum.;Bugün müdürün imzaladığını raporu duydum.;raporu imzaladığını;imzaladığını raporu;-;scrambling  
5 teknisyenin arızayı giderdiğini açıkladı.;5 teknisyenin giderdiğini arızayı açıkladı.;arızayı giderdiğini;giderdiğini arızayı;-;scrambling
Küçük kardeşimin anahtarları kaybettiğini anladık.;Küçük kardeşimin kaybettiğini anahtarları anladık.;anahtarları kaybettiğini;kaybettiğini anahtarları;-;scrambling  
Ardından i̇şçilerin duvarı örmesini izledik.;Ardından i̇şçilerin örmesini duvarı izledik.;duvarı örmesini;örmesini duvarı;-;scrambling  
Genç çalışan antika vazoyu kırdığını itiraf etti.;Genç çalışan kırdığını antika vazoyu itiraf etti.;antika vazoyu kırdığını;kırdığını antika vazoyu;-;scrambling
Bazı çocukların parktaki salıncağı kırdığını gördük.;Bazı çocukların kırdığını parktaki salıncağı gördük.;parktaki salıncağı kırdığını;kırdığını parktaki salıncağı;-;scrambling
Bu garsonun siparişleri karıştırdığını fark ettiler.;Bu garsonun karıştırdığını siparişleri fark ettiler.;siparişleri karıştırdığını;karıştırdığını siparişleri;-;scrambling
Bir teknisyenin arızayı giderdiğini açıkladı.;Bir teknisyenin giderdiğini arızayı açıkladı.;arızayı giderdiğini;giderdiğini arızayı;-;scrambling
Sonra doktorun hastayı muayene ettiğini duydum.;Sonra doktorun muayene ettiğini hastayı duydum.;hastayı muayene ettiğini;muayane ettiğini hastayı;-;scrambling  
Kızım oyuncağını bozmasına üzüldü.;Kızım bozmasına oyuncağını üzüldü.;oyuncağını bozmasına;bozmasına oyuncağını;-;scrambling  
Kadın kardeşinin doğruyu söylediğine inanıyor.;Kadın kardeşinin söylediğine doğruyu inanıyor.;doğruyu söylediğine;söylediğine doğruyu;-;scrambling
Sizin de açılışa katılmanızı çok isteriz.;Sizin de katılmanızı açılışa çok isteriz.;açılışa katılmanızı;katılmanızı açılışa;-;scrambling
Hemen öğretmenin soruları yanıtlamasını bekledik.;Hemen öğretmenin yanıtlamasını soruları bekledik.;soruları yanıtlamasını;yanıtlamasını soruları;-;scrambling
Ancak otelde çarşafların değiştirildiğine emin olamadık.;Ancak otelde değiştirildiğine çarşafların emin olamadık.;çarşafların değiştirildiğine;değiştirildiğine çarşafların;-;scrambling
Küçük şefin mutfaktaki malzemeleri kontrol ettiğini gözlemledi.;Küçük şefin kontrol ettiğini mutfaktaki malzemeleri gözlemledi.;mutfaktaki malzemeleri kontrol ettiğini;kontrol ettiğini mutfaktaki malzemeleri;-;scrambling
İki garsonun siparişleri karıştırdığını fark ettiler.;İki garsonun karıştırdığını siparişleri fark ettiler.;siparişleri karıştırdığını;karıştırdığını siparişleri;-;scrambling
Vali müdürün yeni kararları açıkladığını bildirdi.;Vali müdürün açıkladığını yeni kararları bildirdi.;yeni kararları açıkladığını;açıkladığını yeni kararları;-;scrambling
Merhaba sizin de açılışa katılmanızı çok isteriz.;Merhaba sizin de katılmanızı açılışa çok isteriz.;açılışa katılmanızı;katılmanızı açılışa;-;scrambling
Bu çocuğun şekerleri yediğini gördüm.;Bu çocuğun yediğini şekerleri gördüm.;şekerleri yediğini;yediğini şekerleri;-;scrambling
Evde i̇şçilerin duvarı örmesini izledik.;Evde i̇şçilerin örmesini duvarı izledik.;duvarı örmesini;örmesini duvarı;-;scrambling  
Anne seni dışarıya çıkmaya ikna etmiş sonunda.;Anne seni çıkmaya dışarıya ikna etmiş sonunda.;dışarıya çıkmaya;çıkmaya dışarıya;-;scrambling
4 teknisyenin arızayı giderdiğini açıkladı.;4 teknisyenin giderdiğini arızayı açıkladı.;arızayı giderdiğini;giderdiğini arızayı;-;scrambling
Hep birlikte arabanın çıkarılmasına yardım ettik.;Hep birlikte çıkarılmasına arabanın yardım ettik.;arabanın çıkarılmasına;çıkarılmasına arabanın;-;scrambling
Bu çocuğun bardağı kırdığını kimse görmedi.;Bu çocuğun kırdığını bardağı kimse görmedi.;bardağı kırdığını;kırdığını bardağı;-;scrambling  
Sonra i̇şçilerin bahçedeki ağacı budamasını izlediler.;Sonra i̇şçilerin budamasını bahçedeki ağacı izlediler.;bahçedeki ağacı budamasını;budamasını bahçedeki ağacı;-;scrambling
Bir adamın cüzdanını düşürdüğünü gördüm.;Bir adamın düşürdüğünü cüzdanını gördüm.;cüzdanını düşürdüğünü;düşürdüğünü cüzdanını;-;scrambling  
İki kardeşimin bisikleti tamir ettiğini biliyorum.;İki kardeşimin tamir ettiğini bisikleti biliyorum.;bisikleti tamir ettiğini;tamir ettiğini bisikleti;-;scrambling
Sadece müdür yardımcısının evrakları imzaladığını duydum.;Sadece müdür yardımcısının imzaladığını evrakları duydum.;evrakları imzaladığını;imzaladığını evrakları;-;scrambling
İşçilerin duvarı örmesini izledik.;İşçilerin örmesini duvarı izledik.;duvarı örmesini;örmesini duvarı;-;scrambling  
Allah çocuğun köpeğini sevmesine izin verdi.;Allah çocuğun sevmesine köpeğini izin verdi.;köpeğini sevmesine;sevmesine köpeğini;-;scrambling  
Bir müdürün hukuksuzluk yaptığını duyurdu.;Bir müdürün yaptığını hukuksuzluk duyurdu.;hukuksuzluk yaptığını;yaptığını hukuksuzluk;-;scrambling
Teknisyenin arızayı giderdiğini müjdeledi.;Teknisyenin giderdiğini arızayı müjdeledi.;arızayı giderdiğini;giderdiğini arızayı;-;scrambling
Bu çocukların parktaki salıncağı kırdığını gördük.;Bu çocukların kırdığını parktaki salıncağı gördük.;parktaki salıncağı kırdığını;kırdığını parktaki salıncağı;-;scrambling
Müdürün projeyi onayladığını duydum.;Müdürün onayladığını projeyi duydum.;projeyi onayladığını;onayladığını projeyi;-;scrambling  
Jandarma polislerin şüphelinin izini sürdüğünü basına açıkladı.;Jandarma polislerin sürdüğünü şüphelinin izini basına açıkladı.;şüphelinin izini sürdüğünü;sürdüğünü şüphelinin izini;-;scrambling
Arkadaşımın arabasını sattığını öğrendim.;Arkadaşımın sattığını arabasını öğrendim.;arabasını sattığını;sattığını arabasını;-;scrambling  
Öğretmenin soruları yanıtlamasını bekledik.;Öğretmenin yanıtlamasını soruları bekledik.;soruları yanıtlamasını;yanıtlamasını soruları;-;scrambling
Facebook canlı destek müşterilerin şikayetlerini kaydettiğini iletti.;Facebook canlı destek kaydettiğini müşterilerin şikayetlerini iletti.;müşterilerin şikayetlerini kaydettiğini;kaydettiğini müşterilerin şikayetlerini;-;scrambling
Ve i̇şçilerin duvarı örmesini izledik.;Ve i̇şçilerin örmesini duvarı izledik.;duvarı örmesini;örmesini duvarı;-;scrambling  
Bazı polislerin hırsızı yakaladığını duyduk.;Bazı polislerin yakaladığını hırsızı duyduk.;hırsızı yakaladığını;yakaladığını hırsızı;-;scrambling  
Fakat okul müdürünün öğrencileri azarlamasına inanamadık.;Fakat okul müdürünün azarlamasına öğrencileri inanamadık.;öğrencileri azarlamasına;azarlamasına öğrencileri;-;scrambling
Şube müdürün yeni kararları açıkladığını bildirdi.;Şube müdürün açıkladığını yeni kararları bildirdi.;yeni kararları açıkladığını;açıkladığını yeni kararları;-;scrambling
Genel müdürün projeyi onayladığını duydum.;Genel müdürün onayladığını projeyi duydum.;projeyi onayladığını;onayladığını projeyi;-;scrambling  
Sonra mimarın projeyi değiştirdiğini öğrendik.;Sonra mimarın değiştirdiğini projeyi öğrendik.;projeyi değiştirdiğini;değiştirdiğini projeyi;-;scrambling
Dedemin tapu evraklarını bulduğunu öğrendik.;Dedemin bulduğunu tapu evraklarını öğrendik.;tapu evraklarını bulduğunu;bulduğunu tapu evraklarını;-;scrambling
Bir garsonun müşterinin siparişini unuttuğunu fark ettik.;Bir garsonun unuttuğunu müşterinin siparişini fark ettik.;müşterinin siparişini unuttuğunu;unuttuğunu müşterinin siparişini;-;scrambling
Sonra müdürün projeyi onayladığını duydum.;Sonra müdürün onayladığını projeyi duydum.;projeyi onayladığını;onayladığını projeyi;-;scrambling  
Uzman mimarın proje için gerekli izinleri aldığını öğrendik.;Uzman mimarın aldığını proje için gerekli izinleri öğrendik.;proje için gerekli izinleri aldığını;aldığını proje için gerekli izinleri;-;scrambling
Sonra müdür yardımcısının önemli evrakları şifrelediğini öğrendik.;Sonra müdür yardımcısının şifrelediğini önemli evrakları öğrendik.;önemli evrakları şifrelediğini;şifrelediğini önemli evrakları;-;scrambling
Sonra eylemcilerin alanı temizlediğini gördük.;Sonra eylemcilerin temizlediğini alanı gördük.;alanı temizlediğini;temizlediğini alanı;-;scrambling
Ancak polislerin hırsızın izini sürdüğünü duyduk.;Ancak polislerin sürdüğünü hırsızın izini duyduk.;hırsızın izini sürdüğünü;sürdüğünü hırsızın izini;-;scrambling
Hasan hasan'ın makaleyi yazdığını biliyorum.;Hasan hasan'ın yazdığını makaleyi biliyorum.;makaleyi yazdığını ;yazdığını makaleyi;-;scrambling
Baba seni dışarıya çıkmaya ikna etmiş sonunda.;Baba seni çıkmaya dışarıya ikna etmiş sonunda.;dışarıya çıkmaya;çıkmaya dışarıya;-;scrambling
Burada çalışanların şikayetleri dinlemesini söyledi.;Burada çalışanların dinlemesini şikayetleri söyledi.;şikayetleri dinlemesini;dinlemesini şikayetleri;-;scrambling
Hizmetlinin odasını topladığını söyledi.;Hizmetlinin topladığını odasını söyledi.;odasını topladığını;topladığını odasını;-;scrambling  
Ardından müdür yardımcısının önemli evrakları şifrelediğini öğrendik.;Ardından müdür yardımcısının şifrelediğini önemli evrakları öğrendik.;önemli evrakları şifrelediğini;şifrelediğini önemli evrakları;-;scrambling
Bu teknisyenlerin fabrikadaki arızayı giderdiğini bildirdiler.;Bu teknisyenlerin giderdiğini fabrikadaki arızayı bildirdiler.;fabrikadaki arızayı giderdiğini;giderdiğini fabrikadaki arızayı;-;scrambling
Fakat otelde çarşafların değiştirildiğine emin olamadık.;Fakat otelde değiştirildiğine çarşafların emin olamadık.;çarşafların değiştirildiğine;değiştirildiğine çarşafların;-;scrambling
İngiliz kaptanın rotayı değiştirdiğini anons etti.;İngiliz kaptanın değiştirdiğini rotayı anons etti.;rotayı değiştirdiğini;değiştirdiğini rotayı;-;scrambling
Ardından teknisyenin arızayı giderdiğini müjdeledi.;Ardından teknisyenin giderdiğini arızayı müjdeledi.;arızayı giderdiğini;giderdiğini arızayı;-;scrambling
Bir köpeğin komşunun bahçesini kazdığını gördüm.;Bir köpeğin kazdığını komşunun bahçesini gördüm.;komşunun bahçesini kazdığını;kazdığını komşunun bahçesini;-;scrambling  
Ancak garsonun müşterinin siparişini unuttuğunu fark ettik.;Ancak garsonun unuttuğunu müşterinin siparişini fark ettik.;müşterinin siparişini unuttuğunu;unuttuğunu müşterinin siparişini;-;scrambling
Mehmet hasan'ın makaleyi yazdığını biliyorum.;Mehmet hasan'ın yazdığını makaleyi biliyorum.;makaleyi yazdığını ;yazdığını makaleyi;-;scrambling
Burada eylemcilerin alanı temizlediğini gördük.;Burada eylemcilerin temizlediğini alanı gördük.;alanı temizlediğini;temizlediğini alanı;-;scrambling
Ama okul müdürünün öğrencileri azarlamasına inanamadık.;Ama okul müdürünün azarlamasına öğrencileri inanamadık.;öğrencileri azarlamasına;azarlamasına öğrencileri;-;scrambling
Belediye başkanının şehir planını revize ettiğini açıkladı.;Belediye başkanının ettiğini şehir planını revize açıkladı.;şehir planını revize ettiğini;ettiğini şehir planını revize;-;scrambling
Özellikle öğrencilerin kütüphanedeki kitapları incelediğini fark ettik.;Özellikle öğrencilerin incelediğini kütüphanedeki kitapları fark ettik.;kütüphanedeki kitapları incelediğini;incelediğini kütüphanedeki nadir kitapları;-;scrambling
Ufaklığın ödevlerini bitirmesine sevindim.;Ufaklığın bitirmesine ödevlerini sevindim.;ödevlerini bitirmesine;bitirmesine ödevlerini;-;scrambling  
Bu küçük kızın şarkıyı yanlış söylemesine güldü.;Bu küçük kızın yanlış söylemesine şarkıyı güldü.;şarkıyı yanlış söylemesine;yanlış söylemesine şarkıyı;-;scrambling
Ve müdür yardımcısının önemli evrakları şifrelediğini öğrendik.;Ve müdür yardımcısının şifrelediğini önemli evrakları öğrendik.;önemli evrakları şifrelediğini;şifrelediğini önemli evrakları;-;scrambling
Burada hep birlikte arabanın çıkarılmasına yardım ettik.;Burada hep birlikte çıkarılmasına arabanın yardım ettik.;arabanın çıkarılmasına;çıkarılmasına arabanın;-;scrambling
Biz hep birlikte arabanın çıkarılmasına yardım ettik.;Biz hep birlikte çıkarılmasına arabanın yardım ettik.;arabanın çıkarılmasına;çıkarılmasına arabanın;-;scrambling
Bir adamın cüzdanını düşürdüğünü gördüm.;Bir adamın düşürdüğünü cüzdanını gördüm.;cüzdanını düşürdüğünü;düşürdüğünü cüzdanını;-;scrambling  
Bir çocuğun şekerleri yediğini gördüm.;Bir çocuğun yediğini şekerleri gördüm.;şekerleri yediğini;yediğini şekerleri;-;scrambling
İki yönetici maaşları ödediğini söyledi.;İki yönetici ödediğini maaşları söyledi.;maaşları ödediğini;ödediğini maaşları;-;scrambling  
İki öğrencinin kitabı unuttuğunu fark ettim.;İki öğrencinin unuttuğunu kitabı fark ettim.;kitabı unuttuğunu;unuttuğunu kitabı;-;scrambling  
İngiliz kaptanın rotayı değiştirdiğini duyurdu.;İngiliz kaptanın değiştirdiğini rotayı duyurdu.;rotayı değiştirdiğini;değiştirdiğini rotayı;-;scrambling
Ekip polislerin şüphelinin izini sürdüğünü basına açıkladı.;Ekip polislerin sürdüğünü şüphelinin izini basına açıkladı.;şüphelinin izini sürdüğünü;sürdüğünü şüphelinin izini;-;scrambling
Ben seni dışarıya çıkmaya ikna etmiş sonunda.;Ben seni çıkmaya dışarıya ikna etmiş sonunda.;dışarıya çıkmaya;çıkmaya dışarıya;-;scrambling
Ahmet hasan'ın makaleyi yazdığını biliyorum.;Ahmet hasan'ın yazdığını makaleyi biliyorum.;makaleyi yazdığını ;yazdığını makaleyi;-;scrambling
Servis canlı destek müşterilerin şikayetlerini kaydettiğini iletti.;Servis canlı destek kaydettiğini müşterilerin şikayetlerini iletti.;müşterilerin şikayetlerini kaydettiğini;kaydettiğini müşterilerin şikayetlerini;-;scrambling
Genel müdür yardımcısının evrakları imzaladığını duydum.;Genel müdür yardımcısının imzaladığını evrakları duydum.;evrakları imzaladığını;imzaladığını evrakları;-;scrambling
Erdoğan kaptanın rotayı değiştirdiğini anons etti.;Erdoğan kaptanın değiştirdiğini rotayı anons etti.;rotayı değiştirdiğini;değiştirdiğini rotayı;-;scrambling
İbrahim hasan'ın makaleyi yazdığını biliyorum.;İbrahim hasan'ın yazdığını makaleyi biliyorum.;makaleyi yazdığını ;yazdığını makaleyi;-;scrambling
O adamın yalan söylediğini anladık.;O adamın söylediğini yalan anladık.;yalan söylediğini;söylediğini yalan;-;scrambling  
Ankara polislerin şüphelinin izini sürdüğünü basına açıkladı.;Ankara polislerin sürdüğünü şüphelinin izini basına açıkladı.;şüphelinin izini sürdüğünü;sürdüğünü şüphelinin izini;-;scrambling
Ben adamın cüzdanını düşürdüğünü gördüm.;Ben adamın düşürdüğünü cüzdanını gördüm.;cüzdanını düşürdüğünü;düşürdüğünü cüzdanını;-;scrambling  
Erkek kardeşinin doğruyu söylediğine inanıyor.;Erkek kardeşinin söylediğine doğruyu inanıyor.;doğruyu söylediğine;söylediğine doğruyu;-;scrambling
Sonra öğrencilerin barikatı aşmasını izledim.;Sonra öğrencilerin aşmasını barikatı izledim.;barikatı aşmasını;aşmasını barikatı;-;scrambling  
Müdür yardımcısının evrakları imzaladığını duydum.;Müdür yardımcısının imzaladığını evrakları duydum.;evrakları imzaladığını;imzaladığını evrakları;-;scrambling
Sonra doktorun ilacı yazdığını unutmuş.;Sonra doktorun yazdığını ilacı unutmuş.;ilacı yazdığını;yazdığını ilacı;-;scrambling  
Bir küçük kızın şarkıyı yanlış söylemesine güldü.;Bir küçük kızın yanlış söylemesine şarkıyı güldü.;şarkıyı yanlış söylemesine;yanlış söylemesine şarkıyı;-;scrambling
Ardından mimarın projeyi değiştirdiğini öğrendik.;Ardından mimarın değiştirdiğini projeyi öğrendik.;projeyi değiştirdiğini;değiştirdiğini projeyi;-;scrambling
Otelde çarşafların değiştirildiğine emin olamadık.;Otelde değiştirildiğine çarşafların emin olamadık.;çarşafların değiştirildiğine;değiştirildiğine çarşafların;-;scrambling
Lufthansa yolcuların valizlerini kaybettiğini duyurdu.;Lufthansa yolcuların kaybettiğini valizlerini duyurdu.;valizlerini kaybettiğini;kaybettiğini valizlerini;-;scrambling  
O adamın cüzdanını düşürdüğünü gördüm.;O adamın düşürdüğünü cüzdanını gördüm.;cüzdanını düşürdüğünü;düşürdüğünü cüzdanını;-;scrambling  
Beşiktaş kaptanın rotayı değiştirdiğini duyurdu.;Beşiktaş kaptanın değiştirdiğini rotayı duyurdu.;rotayı değiştirdiğini;değiştirdiğini rotayı;-;scrambling
Yeni müdürün hukuksuzluk yaptığını duyurdu.;Yeni müdürün yaptığını hukuksuzluk duyurdu.;hukuksuzluk yaptığını;yaptığını hukuksuzluk;-;scrambling
Bazı eylemcilerin alanı temizlediğini gördük.;Bazı eylemcilerin temizlediğini alanı gördük.;alanı temizlediğini;temizlediğini alanı;-;scrambling
Ben annemin yemeği yaktığını geç fark ettim.;Ben annemin yaktığını yemeği geç fark ettim.;yemeği yaktığını;yaktığını yemeği;-;scrambling  
Genel müdürün toplantıyı iptal ettiğini duyurdular.;Genel müdürün iptal ettiğini toplantıyı duyurdular.;toplantıyı iptal ettiğini;iptal ettiğini toplantıyı;-;scrambling
Bir öğrencinin kitabı unuttuğunu fark ettim.;Bir öğrencinin unuttuğunu kitabı fark ettim.;kitabı unuttuğunu;unuttuğunu kitabı;-;scrambling  
Teknisyenin arızayı giderdiğini açıkladı.;Teknisyenin giderdiğini arızayı açıkladı.;arızayı giderdiğini;giderdiğini arızayı;-;scrambling
Küçük kuzenimin yeni telefonunu kaybettiğini söyledi.;Küçük kuzenimin kaybettiğini yeni telefonunu söyledi.;yeni telefonunu kaybettiğini;kaybettiğini yeni telefonunu;-;scrambling
Ali hasan'ın makaleyi yazdığını biliyorum.;Ali hasan'ın yazdığını makaleyi biliyorum.;makaleyi yazdığını ;yazdığını makaleyi;-;scrambling
Sonra müdürün raporu imzaladığını duydum.;Sonra müdürün imzaladığını raporu duydum.;raporu imzaladığını;imzaladığını raporu;-;scrambling  
Burada çocukların parktaki salıncağı kırdığını gördük.;Burada çocukların kırdığını parktaki salıncağı gördük.;parktaki salıncağı kırdığını;kırdığını parktaki salıncağı;-;scrambling
Telefon canlı destek müşterilerin şikayetlerini kaydettiğini iletti.;Telefon canlı destek kaydettiğini müşterilerin şikayetlerini iletti.;müşterilerin şikayetlerini kaydettiğini;kaydettiğini müşterilerin şikayetlerini;-;scrambling
Sonra şefin mutfaktaki malzemeleri kontrol ettiğini gözlemledi.;Sonra şefin kontrol ettiğini mutfaktaki malzemeleri gözlemledi.;mutfaktaki malzemeleri kontrol ettiğini;kontrol ettiğini mutfaktaki malzemeleri;-;scrambling
Hakim yöneticinin kararı ertelettiğini duyurdu.;Hakim yöneticinin ertelettiğini kararı duyurdu.;kararı ertelettiğini;ertelettiğini kararı;-;scrambling
Müdürün yeni kararları açıkladığını bildirdi.;Müdürün açıkladığını yeni kararları bildirdi.;yeni kararları açıkladığını;açıkladığını yeni kararları;-;scrambling
Baba kızım oyuncağını bozmasına üzüldü.;Baba kızım bozmasına oyuncağını üzüldü.;oyuncağını bozmasına;bozmasına oyuncağını;-;scrambling  
Genel müdürün yeni çalışma saatlerini onayladığını duyurdu.;Genel müdürün onayladığını yeni çalışma saatlerini duyurdu.;yeni çalışma saatlerini onayladığını;onayladığını yeni çalışma saatlerini;-;scrambling
Küçük kardeşimin bisikleti çaldığını itiraf etti.;Küçük kardeşimin çaldığını bisikleti itiraf etti.;bisikleti çaldığını;çaldığını bisikleti;-;scrambling  
İç mimarın proje detaylarını değiştirdiğini öğrendik.;İç mimarın değiştirdiğini proje detaylarını öğrendik.;proje detaylarını değiştirdiğini;değiştirdiğini proje detaylarını;-;scrambling
Ancak annemin yemeği yaktığını geç fark ettim.;Ancak annemin yaktığını yemeği geç fark ettim.;yemeği yaktığını;yaktığını yemeği;-;scrambling  
Ayrıca çiftçilerin tarlayı sulamasına yardım ettiler.;Ayrıca çiftçilerin sulamasına tarlayı yardım ettiler.;tarlayı sulamasına;sulamasına tarlayı;-;scrambling
İki hizmetlinin okul bahçesindeki ağaçları suladığını gördüm.;İki hizmetlinin suladığını okul bahçesindeki ağaçları gördüm.;okul bahçesindeki ağaçları suladığını;suladığını okul bahçesindeki ağaçları;-;scrambling
Benim annemin pastayı yaptığını sanıyordum.;Benim annemin yaptığını pastayı sanıyordum.;pastayı yaptığını;yaptığını pastayı;-;scrambling  
Yıldız kaptanın rotayı değiştirdiğini duyurdu.;Yıldız kaptanın değiştirdiğini rotayı duyurdu.;rotayı değiştirdiğini;değiştirdiğini rotayı;-;scrambling
Evde çalışan antika vazoyu kırdığını itiraf etti.;Evde çalışan kırdığını antika vazoyu itiraf etti.;antika vazoyu kırdığını;kırdığını antika vazoyu;-;scrambling
Için çalışanların şikayetleri dinlemesini söyledi.;Için çalışanların dinlemesini şikayetleri söyledi.;şikayetleri dinlemesini;dinlemesini şikayetleri;-;scrambling
Kadın şefin mutfaktaki malzemeleri kontrol ettiğini gözlemledi.;Kadın şefin kontrol ettiğini mutfaktaki malzemeleri gözlemledi.;mutfaktaki malzemeleri kontrol ettiğini;kontrol ettiğini mutfaktaki malzemeleri;-;scrambling
O öğrencinin kitabı unuttuğunu fark ettim.;O öğrencinin unuttuğunu kitabı fark ettim.;kitabı unuttuğunu;unuttuğunu kitabı;-;scrambling  
Eski müdürün kararı açıkladığını duydum.;Eski müdürün açıkladığını kararı duydum.;kararı açıkladığını;açıkladığını kararı;-;scrambling  
Bütün adayların görüşmeleri başarıyla tamamladığını duydum.;Bütün adayların başarıyla tamamladığını görüşmeleri duydum.;görüşmeleri başarıyla tamamladığını;başarıyla tamamladığını görüşmeleri;-;scrambling
Ancak mimarın proje için gerekli izinleri aldığını öğrendik.;Ancak mimarın aldığını proje için gerekli izinleri öğrendik.;proje için gerekli izinleri aldığını;aldığını proje için gerekli izinleri;-;scrambling
Anne küçük kızın şarkıyı yanlış söylemesine güldü.;Anne küçük kızın yanlış söylemesine şarkıyı güldü.;şarkıyı yanlış söylemesine;yanlış söylemesine şarkıyı;-;scrambling
Ama çocuğun bardağı kırdığını kimse görmedi.;Ama çocuğun kırdığını bardağı kimse görmedi.;bardağı kırdığını;kırdığını bardağı;-;scrambling  
Sayın müdürün projeyi onayladığını duydum.;Sayın müdürün onayladığını projeyi duydum.;projeyi onayladığını;onayladığını projeyi;-;scrambling  
Servis teknisyenin arızayı giderdiğini müjdeledi.;Servis teknisyenin giderdiğini arızayı müjdeledi.;arızayı giderdiğini;giderdiğini arızayı;-;scrambling
Adam patronu arayıp bacağını kırdığını haber verdi.;Adam patronu arayıp kırdığını bacağını haber verdi.;bacağını kırdığını;kırdığını bacağını;-;scrambling
Herkes kardeşinin doğruyu söylediğine inanıyor.;Herkes kardeşinin söylediğine doğruyu inanıyor.;doğruyu söylediğine;söylediğine doğruyu;-;scrambling
Teyzenin balkondaki çiçekleri suladığını gördüm.;Teyzenin suladığını balkondaki çiçekleri gördüm.;balkondaki çiçekleri suladığını;suladığını balkondaki çiçekleri;-;scrambling
Seni dışarıya çıkmaya ikna etmiş sonunda.;Seni çıkmaya dışarıya ikna etmiş sonunda.;dışarıya çıkmaya;çıkmaya dışarıya;-;scrambling
Sonra babaaannem üniversiteyi kazanmana çok sevinmiş.;Sonra babaaannem kazanmana üniversiteyi çok sevinmiş.;üniversiteyi kazanmana;kazanmana üniversiteyi;-;scrambling
Tüm çiftçilerin gerekli hazırlıkları tamamladığını söylediler.;Tüm çiftçilerin tamamladığını gerekli hazırlıkları söylediler.;gerekli hazırlıkları tamamladığını;tamamladığını gerekli hazırlıkları;-;scrambling
Ardından garsonun müşterinin siparişini unuttuğunu fark ettik.;Ardından garsonun unuttuğunu müşterinin siparişini fark ettik.;müşterinin siparişini unuttuğunu;unuttuğunu müşterinin siparişini;-;scrambling
Fakat çocuğun bardağı kırdığını kimse görmedi.;Fakat çocuğun kırdığını bardağı kimse görmedi.;bardağı kırdığını;kırdığını bardağı;-;scrambling  
Usta teknisyenin arızayı giderdiğini müjdeledi.;Usta teknisyenin giderdiğini arızayı müjdeledi.;arızayı giderdiğini;giderdiğini arızayı;-;scrambling
Genç öğrencinin kitabı unuttuğunu fark ettim.;Genç öğrencinin unuttuğunu kitabı fark ettim.;kitabı unuttuğunu;unuttuğunu kitabı;-;scrambling  
Bu yönetici maaşları ödediğini söyledi.;Bu yönetici ödediğini maaşları söyledi.;maaşları ödediğini;ödediğini maaşları;-;scrambling  
Hatta kızının resim yaptığını bile bilmiyormuş.;Hatta kızının yaptığını resim bile bilmiyormuş;resim yaptığını;yaptığını resim;-;scrambling  
Erkek kardeşimin bisikleti çaldığını itiraf etti.;Erkek kardeşimin çaldığını bisikleti itiraf etti.;bisikleti çaldığını;çaldığını bisikleti;-;scrambling  
Bu köpeğin komşunun bahçesini kazdığını gördüm.;Bu köpeğin kazdığını komşunun bahçesini gördüm.;komşunun bahçesini kazdığını;kazdığını komşunun bahçesini;-;scrambling  
Yüksek mimarın proje detaylarını değiştirdiğini öğrendik.;Yüksek mimarın değiştirdiğini proje detaylarını öğrendik.;proje detaylarını değiştirdiğini;değiştirdiğini proje detaylarını;-;scrambling
Ve okul müdürünün öğrencileri azarlamasına inanamadık.;Ve okul müdürünün azarlamasına öğrencileri inanamadık.;öğrencileri azarlamasına;azarlamasına öğrencileri;-;scrambling
Müdürün hukuksuzluk yaptığını duyurdu.;Müdürün yaptığını hukuksuzluk duyurdu.;hukuksuzluk yaptığını;yaptığını hukuksuzluk;-;scrambling
